用户Id,昵称,评论内容,点赞数
94482910,小时候可猛的春天,谢谢大家的赞，刚刚在学校官网拟录取信息里看到了自己的名字，忽然就忍不住流泪了…我是个大专生，然后上了专升本，第一次考研又失败了，这次是考研二战，我终于成功了…憋屈了六年了，这六年好难熬…现在瞬间释放了所有…感谢路上帮助过自己的每一个人，感谢不甘心的自己,281719
111043549,嗨嗨嗨戴伟,她说民谣太穷了，一听就是一根烟，一听就是一瓶酒。而我只有一根烟了，还要撑一夜，只剩一点爱了，还要过一生。,198164
26841457,我非如此不可,"如果有真有男生对我唱这首歌
我他妈就嫁了",129894
86621942,回忆哆啦没有A梦,有一个民谣青年曾说：最单纯的喜欢就是，就算你拒绝了我，我对你也永远没有埋怨。但我不会再靠近了。如果你有求于我，我依然会鞠躬尽瘁。从今往后我会把喜欢藏起来，不再招摇过市了，我会努力过得好，希望你也是。,103094
107354342,她说你别惹我臭狗屎狗屁玩意儿,大学倒数第二次班级聚会KTV通宵，第二天早上不知道谁点的这首歌，女友超级喜欢但没记得歌名，没想到第二天在南京火车站的肯德基又听到！外面太吵，躲进厕所，记下一句歌词，在手机的网易搜索歌词搜到了，贴近她耳边，看她笑颜如花！[爱心],58565
35455937,黄山梁朝伟,我妈中午修机器的时候，手指头被压断了一节，到医院时，我妈让我把断了的那节指头给扔了，我骗她已经扔了，偷偷打开来看，纸巾包裹着，漆黑又血肉模糊，夹杂着几根钢丝在里面，散发着车间里独有的味道。47岁的她已经在车间忙活了近30年，指甲里都是陈年的黑色，洗不掉。是儿子没用，不能让你过上好日子,42265
64419057,无赖CCXX,第一次听就单曲循环,41737
34150990,唱完这首歌我就醒,像是有人扯过耳机唱歌给自己听,35283
16295800,素人-尘埃,距离高考还有91天，刚刚结束一模，考的很不理想，我不想总是给自己一次又一次的机会，之前都是看别人高考，现在轮到我了，心里真的很复杂，力不从心又着急。,34224
54957109,帐号已注销,才情四溢[爱心]喜欢到不行,25319
16873023,曾忘情,"再不见那夜里，听歌的小孩  就老去吧，孤独别醒来
你渴望的离开 ，就歌唱吧，眼睛眯起来
而热泪的崩坏，你迷醒岁月中
那贫瘠的未来。[流感]",24510
504570801,messier丶xq,今年是我第4次高考，家人很不理解，身边朋友也一个个淡去，  只有我自己知道我想要的是什么，我想摆脱这种瞧不起梦想的环境。  [哀伤][哀伤],23461
用户Id,昵称,评论内容,点赞数
262234877,掌心上的小婉儿,初恋很单纯，跟她好了快一年了，终于带她回家见家长。席间老妈不停的给她夹菜，“闺女，来，吃完了待会让他送你回去”。女友可能是误会我妈的意思了，立马放下碗筷，一脸委屈“叔叔阿姨你们别赶我走，我是真心喜欢他的，我以后少吃点”。听到女友说这句话，心瞬间化了。,618000
261244987,90后的小样,李玉刚合唱团已上线，女高音李玉刚、女低音李玉刚、男高音李玉刚、男低音李玉刚[大笑][大笑][大笑],325549
390015516,觉得自,大学毕业后我去了北京，而她留在了老家，刚开始每天一个电话，后来越来越少，甚至断了联系，直到两年后的一次我坐火车回家，出了站之后看见她一个人站在外面，头发被风吹得很凌乱，看到我之后也没有动，我放下行李过去把她抱住，她立马大哭对我说我还以为你不要我了。那一刻起我就知道这辈子就是你。,216340
368479170,Libertyman_,「刚」好「玉」见「李」,211353
44421277,拾半片阑珊,96年离开家奔波闯荡，06年星光大道让全国观众认识了你，16年出道整十周年，你用十年时间向世界证明你不是当初那个初登央视舞台稚嫩的李玉刚，你是历经十年岁月积淀的玉先生，你是传播传统文化的先行者，你是摆脱桎梏追求艺术突破的追梦人  世界之大欣喜相逢 我们17日十周年演唱会见[亲亲],121506
66976362,Aimfay,副歌有毒…画室今天放了三遍[大哭]第一次听这唱的什么鬼…第二次感觉还不错…第三次就开始中毒了拿起手机听歌识曲，单曲循环走起[大哭],109129
135883617,恍偌梦呓,1.11号我们在一起了 她是初恋 我不是。她给我的是刚好遇见你 我给他复习的是终于等到你  她肯定会用网易云 请大家帮帮忙 让她听这首歌可以看见 我是真的爱你啊 谢谢大家 '真不是段子[爱心]（第二遍了 谢谢）,89141
35724500,信号微弱,相识7年，在一起却才8个月，怪我当初没有足够的勇气，没想到你会为我坚持那么久。感谢上天让我刚好遇见你，是你的坚持让我们最后能走在一起，希望你能在我的一生中留下漫长的回忆，我会珍惜这场来之不易的相遇。在今后的日子里，让我来给你走下去的勇气，给我机会保护你、呵护你，刘小瘦我爱你。。。,62904
120326576,阳光-网易谢谢你,我用网易云音乐，当初的信任给她买的手机，给她安装了网易云登录了我的帐号，可她不怎么用，16年12月22号她送走了我，至今虽然不再联系就在昨天我突然发现我喜欢的音乐列表内多了一首歌就是这首《刚好遇见你》。,50000
96146812,不好听的时光,我们哭了，我们笑着。[大哭]开口就已经泪流满面，好怀念那段时光,41944
372367685,一团兔毛,因为我刚好遇见你 距离高考还有一百四十多天 和你成为同学大概一年多了 没想到你居然偷偷喜欢了我很久 这次我们省模拟考总分一模一样 要填模拟志愿 你说大学的事就交给我了 你说我们可以去北方看雪吃火锅 你说我喜欢的专业都不错 你说我们很有缘 可是啊 最重要的那一句 你怎么不说呢,39879
294442952,乡里的艾伦,08年汶川地震，废墟下面的她给我发的最后一条信息“ 我撑不住了，要是还能活着出来你娶我好不好” 。八年过去了，我一直没有再找女朋友。,18050
用户Id,昵称,评论内容,点赞数
67394639,夏夜的荷花和星星,"去年高考完徒步搭车 川滇 滇藏 青藏线
一个半月
在旅途结束的西宁看了电影
回来单曲循环
16岁便独自搭车川藏线
作为妹子我也真算得上异类
平时不敢听它 一听就想哭想背包出发
现在大一 前几天憋坏了
逃课骑摩托车去了趟川西
奔驰在一望无际大草原柏油公路
单曲循环 平凡之路
放声大唱
你不知道有多自由",229348
18097211,geekren,朴树常年低调，但是出的歌都是好歌，去听听他以前的歌，都很好听，都不是那些简简单单的爱来爱去,101442
5482414,2orro,无论怎么样非常感谢韩寒的后会无期把朴树拉出来，重新站在大众面前，他还是那个Live会紧张，会发抖，不善言辞的人，但是，一开口，大家都安静了。,78939
1213718,张飞他妹,有位自由诗人，他叫许巍；有位孤独诗人，他叫朴树；有位理想诗人，他叫李健；有位摇滚诗人，他叫郑钧。,74080
16743969,李痔,昨晚李志跨年，嘉宾竟是朴树！！朴树的牛仔裤外套着一条白出去流苏裙子  一双白色匡威高帮   有胡渣  脸上是沧桑和深沉  很文雅  话筒架的螺丝松了上紧了又松了  他笑了笑  笑的很好看  末尾李逼和朴师傅深情的拥抱  我手机没电了  用手箍了个相框  永远记住,51310
34326141,正版大圣爷,小野不会嫁给你的,44805
3213544,awkward,小时候跟着父亲去城里卖西瓜，害怕同学会看到我，就拼命地将自己隐藏起来，一路心惊肉跳。现在想来那条路绿树成荫，阳光飒爽，若不是我害怕面对自己的不完美，一定能看到许多美好的景致，那条路，正如其他的所有路，从来都不应该被逃避。,39640
36130040,ZhiyuBu,今天在poetry of rock上放了这首歌，没有翻译，看着全班的老美一个个震惊与沉醉的表情，果然真正的艺术是可以打破语言与国家的界线,34898
51642163,少吃凉的对胃不好,这一个月 是我这半生来 最难熬的日子  今早 4：06分  正式宣布我 个人破产  这一个月的投资   赔了  24万    人生真的就像是赌博    我输了   输的好彻底  没有回旋的余地   听完这首歌  就让一切重新开始吧   ！ 你好 明天  你好 未来  你好 自己。,33726
976050,明月照大江,正在看湖南卫视金鹰直播，小朴在唱这首歌，他很紧张，闭着眼，眼皮一直在抖。朴师傅别紧张，你很棒！,31093
124929479,guoluchun,十年前你说生如夏花般绚烂，十年后你说平凡才是唯一的答案.没有经历生如夏花，平凡不是我现在想要的答案.,25289
38097704,我说你好你说打扰,可能听了有一千遍。但真的每次都觉得，怎么能那么好。有过很多感慨，也收获过很多能量。刚刚又看了一遍响聊聊那个访谈，其实很多东西是没有变的吧，赤子之心没有变，真实纯粹没有变，不善言辞没有变。时间也让我确定了，为什么喜欢你那么久。,19531
