书名,页面地址,图片地址
 【预订】Introduction to Computing and Programming in Python & Myprogramminglab with Etext Package ,http://product.dangdang.com/1103096029.html,http://img3x9.ddimg.cn/13/7/1103096029-1_b_1.jpg
 【预订】Core Python Applications Programming ,http://product.dangdang.com/1093401808.html,http://img3x8.ddimg.cn/70/8/1093401808-1_b_0.jpg
 【预订】Python 3 Web Development Beginner's Guide ,http://product.dangdang.com/1241239808.html,http://img3x8.ddimg.cn/83/31/1241239808-1_b_0.jpg
 【预订】Monty Python's Flying Circus & Fawlty Towers: BBC ,http://product.dangdang.com/1226942008.html,http://img3x8.ddimg.cn/61/30/1226942008-1_b_0.jpg
 Python Scripting for ArcGIS ,http://product.dangdang.com/1226501120.html,http://img3x0.ddimg.cn/20/34/1226501120-1_b_1.jpg
 【预订】Python and Aws Cookbook ,http://product.dangdang.com/1209281408.html,http://img3x8.ddimg.cn/71/11/1209281408-1_b_0.jpg
 【预订】Cherrypy Essentials: Rapid Python Web Application ,http://product.dangdang.com/1168299608.html,http://img3x8.ddimg.cn/14/3/1168299608-1_b_0.jpg
 【预订】Python Testing: Beginner's Guide ,http://product.dangdang.com/1168203008.html,http://img3x8.ddimg.cn/38/10/1168203008-1_b_0.jpg
 Python 3 Web Development Beginner's Guide [ISBN: 978-1849513746] ,http://product.dangdang.com/1091488726.html,http://img3x6.ddimg.cn/64/11/1091488726-1_b_1.jpg
 Making Games with Python & Pygame [ISBN: 978-1469901732] ,http://product.dangdang.com/1062844026.html,http://img3x6.ddimg.cn/24/8/1062844026-1_b_0.jpg
 Learn Python the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (3rd Edition) (Zed Shaw's Hard Way Series) [ISBN: 978-0321884916] ,http://product.dangdang.com/1038750526.html,http://img3x6.ddimg.cn/55/20/1038750526-1_b_1.jpg
 Introduction to Computing and Programming in Python (3rd Edition) [ISBN: 978-0132923514] ,http://product.dangdang.com/1038018126.html,http://img3x6.ddimg.cn/57/35/1038018126-1_b_1.jpg
 Programming ArcGIS 10.1 with Python Cookbook [ISBN: 978-1849694445] ,http://product.dangdang.com/1028463026.html,http://img3x6.ddimg.cn/41/0/1028463026-1_b_1.jpg
 Program Arcade Games: With Python and Pygame [ISBN: 978-1484052259] ,http://product.dangdang.com/1022062226.html,http://img3x6.ddimg.cn/86/15/1022062226-1_b_1.jpg
" Python in 24 Hours, Sams Teach Yourself (2nd Edition) [ISBN: 978-0672336874] ",http://product.dangdang.com/1362041526.html,http://img3x6.ddimg.cn/21/5/1362041526-1_b_1.jpg
 【预订】Python Testing ,http://product.dangdang.com/1261398229.html,http://img3x9.ddimg.cn/25/1/1261398229-1_b_1.jpg
 【预订】Python 3 - Intensivkurs: Projekte Erfolgreich ,http://product.dangdang.com/1260687808.html,http://img3x8.ddimg.cn/28/17/1260687808-1_b_0.jpg
 【预订】Learning Python with Raspberry Pi ,http://product.dangdang.com/1260004529.html,http://img3x9.ddimg.cn/47/17/1260004529-1_b_1.jpg
" 【预订】Derivatives Analytics with Python - Data Analysis, Models, ... 9781119037996 ",http://product.dangdang.com/1257710049.html,http://img3x9.ddimg.cn/90/18/1257710049-1_b_1.jpg
